route_id,direction_id,stop_1,stop_2,distance_m
14876,1,Long Hill Rd @ opp Sunny Dale Ln,Tremper Dr @ Wharton Brook Dr,117.57
14877,0,Washington St @ Parker St,Parker St @ N Cherry St,78.52
14877,1,Quinnipiac St @ S Colony Rd,Center St @ S Colony St,63.56
14878,1,Farmington Ave @ Roseland Ave,Roseland Ave @ Columbia Blvd,107.19
14879,0,N Main St @ Hill St,Hill St @ opp Crown St,123.05
14879,0,Moran St @ Collins St,Leftingwell Ave @ Cooke St,92.17
14879,1,Cooke St @ Herkimer St,Moran St @ Cooke St,116.3
14879,1,Grove St @ Central Ave,Holmes Ave @ Grove St,107.47
14880,0,East Main St @ N Main St,N Main St @ W Main St,88.55
14880,0,Huntingdon Ave @ Thomaston Ave,Thomaston Ave @ Homer St,70.43
14880,0,Huntingdon Ave @ Chase River Rd,Chase River Rd @ Huntingdon Ave,67.93
14880,0,Huntingdon Ave @ Colonial Ave,Colonial Ave @ Huntingdon Ave,89.67
14880,0,Colonial Ave @ Brookside Rd,Colonial Ave @ Lester Dr,124.2
14880,0,Colonial Ave @ Berkshine Dr,Colonial Ave @ Lester Dr,120.64
14880,0,Colonial Ave @ Lester Dr,Colonial Ave @ Lester Dr,32.38
14880,1,Cooke St @ Bonair Ave,Cooke St @ White St,104.29
14880,1,Cooke St @ Herkimer St,Moran St @ Cooke St,116.3
14880,1,Cooke St @ Leffingwell Ave,Moran St @ Cooke St,40.1
14880,1,Cooke St @ Grove St,Grove St @ Cooke St,22.0
14880,1,Grove St @ Central Ave,Holmes Ave @ Grove St,107.47
14881,0,S Main St @ E Main St,N Main St @ W Main St,116.23
14881,0,N Main St @ opp Fern Hill Ave,N Main St @ Holiday Hill,79.32
14881,0,Bucks Hill Rd @ N Main St,N Main St @ Haven Health Ctr,88.03
14881,0,N Main St @ opp Haven Health Ctr,N Main St @ Haven Health Ctr,56.13
14881,0,Montoe Rd @ N Main St,N Main St @ Lisa Ct,50.47
14881,1,N Main St @ Haven Health Ctr,Bucks Hill Rd @ N Main St,110.11
14881,1,N Main St @ opp Lakewood Rd,N Main St @ opp Truman Apartments,122.22
14881,1,Kearney Dr @ opp Gary Ave,Kearney Dr @ Gary Ave,18.01
14883,0,Waterbury Green @ North Main,N Main St @ W Main St,79.84
14883,0,E Farm St @ Orange St,E Farm St @ St Paul St,119.24
14883,0,Walnut St @ opp N Walnut St,Long Hill Rd @ Oak St,100.74
14883,0,Walnut St @ opp N Walnut St,Long Hill Rd @ Oak St,78.53
14883,0,Long Hill Rd @ Oak St,Long Hill Rd @ Beech St,112.11
14883,0,Long Hill Rd @ Oak St,Long Hill Rd @ opp Beech St,85.54
14883,0,Long Hill Rd @ Oak St,Long Hill Rd @ Oak St,22.21
14883,0,Long Hill Rd @ Beech St,Long Hill Rd @ Birch St,122.98
14883,0,Long Hill Rd @ Beech St,Birch St @ Long Hill Rd,122.56
14883,0,Long Hill Rd @ Beech St,Long Hill Rd @ opp Beech St,41.18
14883,0,Long Hill Rd @ Birch St,Long Hill Rd @ Sumac St,122.08
14883,0,Long Hill Rd @ Birch St,Birch St @ Long Hill Rd,36.92
14883,0,Long Hill Rd @ Sumac St,Birch St @ Long Hill Rd,124.87
14883,0,Long Hill Rd @ Warner St,Berkeley Ave @ Long Hill Rd,51.62
14883,0,Long Hill Rd @ Warner St,Warner St @ Long Hill Rd,30.75
14883,0,Long Hill Rd @ Warner St,Warner St @ Long Hill Rd,41.19
14883,0,Berkeley Ave @ Long Hill Rd,Warner St @ Long Hill Rd,74.74
14883,0,Berkeley Ave @ Long Hill Rd,Warner St @ Long Hill Rd,90.2
14883,0,Warner St @ Long Hill Rd,Warner St @ Long Hill Rd,18.17
14883,0,Warner St @ opp Hope St,Warner St @ Garden Cir,116.9
14883,0,Warner St @ Garden Cir,Warner St @ opp Garden Cir,44.14
14883,0,Long Hill Rd @ opp Beech St,Long Hill Rd @ Oak St,93.01
14883,0,Wolcott St @ 840 Wolcott St,Wolcott St @ Long Hill Rd,22.41
14883,1,Warner St @ Long Hill Rd,Berkeley Ave @ Long Hill Rd,90.2
14883,1,Long Hill Rd @ opp Beech St,Long Hill Rd @ Oak St,93.01
14883,1,Long Hill Rd @ Oak St,Walnut St @ N Walnut St,71.48
14883,1,N Main St @ W Main St,Waterbury Green @ North Main,77.01
14884,0,E Main St @ Waterbury Police Dept,Cherry St @ Maple Ave,102.33
14884,0,Cherry St @ Maple Ave,Walnut St @ Cherry St,93.58
14884,0,Walnut St @ Webb St,Rose St @ Walnut St,46.19
14884,0,Oak St @ opp Brighton St,Wall St @ Oak St,101.52
14884,0,Wall St @ Oak St,Oak St @ 228 Oak St,106.79
14884,0,Holohan Ave @ Oak St,Oak St @ 228 Oak St,90.23
14884,0,Long Hill Rd @ Beech St,Long Hill Rd @ Birch St,122.98
14884,0,Long Hill Rd @ Birch St,Long Hill Rd @ Sumac St,122.08
14884,0,Warner St @ Long Hill Rd,Warner St @ Long Hill Rd,18.17
14884,0,Warner St @ Long Hill Rd,Long Hill Rd @ Warner St,30.75
14884,0,Warner St @ Long Hill Rd,Berkeley Ave @ Long Hill Rd,74.74
14884,0,Warner St @ opp Hope St,Warner St @ Garden Cir,116.9
14884,0,Warner St @ opp Hope St,Warner St @ Hope St,47.55
14884,0,Warner St @ Garden Cir,Warner St @ opp Garden Cir,44.14
14884,0,Warner St @ Garden Cir,Warner St @ Hope St,75.12
14884,0,Warner St @ opp Garden Cir,Warner St @ Hope St,112.93
14884,0,Warner St @ Long Hill Rd,Long Hill Rd @ Warner St,41.19
14884,0,Warner St @ Long Hill Rd,Berkeley Ave @ Long Hill Rd,90.2
14884,0,Long Hill Rd @ Warner St,Berkeley Ave @ Long Hill Rd,51.62
14884,1,Oak St @ Long Hill Rd,Walnut St @ N Walnut St,85.78
14884,1,Walnut St @ N Walnut St,Walnut St @ Locust St,118.36
14884,1,Walnut St @ High St,Walnut St @ Welton St,124.79
14884,1,Walnut St @ Cherry St,Cherry St @ Maple Ave,118.91
14884,1,Cherry St @ Maple Ave,E Main St @ Maple St,99.84
14885,0,E Main St @ Opp William St,Hamilton Ave @ Brass Mill Commons,103.73
14885,0,Wolcott St @ 840 Wolcott St,Stillson Rd @ Richard Ter,79.34
14885,0,Wolott St @ Sharon Rd,Sharon Rd @ Wolcott St,90.69
14885,0,Wolcott St @ Town Line Rd,Town Line Rd @ Wolcott Rd,58.76
14885,0,Town Line Rd @ Wolcott Ind Park,Town Line Rd @ 14-16 Town Line Rd,116.73
14885,0,Hamilton Ave @ Brass Mill Commons,Hamilton Ave @ Brass Mill Commons,45.33
14885,1,E Main St @ William St,Hamilton Ave @ Brass Mill Commons,119.79
14885,1,E Main St @ Welton St,Hamilton Ave @ Brass Mill Commons,80.52
14885,1,E Main St @ Welton St,Hamilton Ave @ Brass Mill Commons,119.11
14885,1,E Main St @ Cherry St,E Main St @ Maple St,108.65
14885,1,Hamilton Ave @ Brass Mill Commons,Hamilton Ave @ Brass Mill Commons,45.33
14886,0,Avenue of Industry @ Pierpont Rd,Avenue of Industry @ Pierpont Rd,18.78
14886,0,Farview Ave @ Meriden Rd,Meriden Rd @ Farview Ave,43.7
14886,1,E Main St @ Cherry St,E Main St @ Maple St,108.65
14886,1,Avenue of Industry @ Pierpont Rd,Avenue of Industry @ Pierpont Rd,18.78
14887,0,Frost Rd @ E Main St,E Main St @ Opp Frost Rd,42.2
14887,0,E Main St @ Meriline Ave,Meriline Ave @ Pinehurst Ave,104.7
14887,1,Meriline Ave @ Pinehurst Ave,Hillcrest Ave @ Pinehurst Ave,116.86
14887,1,Meriline Ave @ Pinehurst Ave,E Main St @ Meriline Ave,81.6
14887,1,Whitecroft Ln @ E Main St,E Main St @ Opp Scott Rd,115.37
14887,1,E Main St @ Frost Rd,Frost Rd @ E Main St,40.98
14887,1,E Main St @ East Gate Apts,Frost Rd @ E Main St,111.24
14887,1,E Main St @ Cherry St,E Main St @ Maple St,108.65
14888,0,Captain Neville Industrial Park,Boxwood Ct @ Austin Rd,106.2
14888,0,Reidville Dr @ CVS,Scott Rd @ opp Schraffts Dr,122.08
14888,0,Village Wood Dr @ Boxwood Ct,Boxwood Ct @ Austin Rd,114.86
14888,1,Austin Rd @ Captain Neville Dr,Captain Neville Dr @ Austin Rd,47.51
14888,1,E Main St @ Cherry St,E Main St @ Maple St,108.65
14889,0,Hamilton Ave @ Farrington Ave,Hamilton Ave @ Edgewood Ave,82.99
14889,1,Hamilton Ave @ opp Edgewood Ave,Hamilton Ave @ opp Farrington Ave,84.97
14889,1,Hamilton Ave @ Brass Mill Commons,E Main St @ Welton St,119.11
14889,1,E Main St @ Cherry St,E Main St @ Maple St,108.65
14891,1,Jersey St @ Longmeadow Dr,Jersey St @ OPP Longmeadow Dr,40.65
14891,1,Jersey St @ Brookview Ave,Jersey St @ OPP Longmeadow Dr,99.04
14891,1,Jersey St @ OPP Longmeadow Dr,Jersey St @ Pearl Lake Rd,121.74
14892,0,New Haven Ave @ Bradley Ave,Bradley Ave @ Highland Ave,48.03
14892,1,Highland Ave @ Hawthorne Ave,New Haven Ave @ Bradley Ave,65.68
14892,1,Highland Ave @ Avon Ave,New Haven Ave @ Bradley Ave,95.76
14892,1,Anna Ave @ 75 Anna Ave,Anna Ave @ Bradley Ave,122.76
14893,0,W Main St @ opp Wilson St,Highland Ave @ W Main St,84.06
14893,1,Freight St @ Meadow St,Meadow St @ Freight St,26.22
14894,0,Straits Tpke @ Woodside Ave,Straits Tpke @ opp Woodside Ave,18.44
14894,0,Middlebury Rd @ Yale Ave,Middlebury Rd @ Yale Ave,35.12
14894,0,Foster St @ White Ave,Middlebury Rd @ Yale Ave,105.84
14894,1,Straits Tpke @ opp Woodside Ave,Straits Tpke @ Woodside Ave,18.44
14894,1,Chase Pkwy @ Regional Cancer Ctr,Harold Leever Cancer Ctr @ Chase Pkwy,122.02
14894,1,Robbins St @ Colley St,Watertown Ave @ Robbins St,122.51
14894,1,W Main St @ State St,State St @ W Main St,30.37
14894,1,Chase Pkwy @ opp Hudson St,Highland Ave @ Sunnyside Ave,107.49
14895,0,Grandview Ave @ 88 Grandview Ave,Grandview Ave @ 134 Grandview Ave,110.12
14895,0,Grandview Ave @ 134 Grandview Ave,Grandview Ave @ opp Westwood Ave,110.39
14895,1,Grandview Ave @ Westwood Ave,Grandview Ave @ 137 Grandview Ave,87.13
14896,0,Gear St @ Huntingdon Ave,Huntingdon Ave @ Brookside Rd,34.65
14896,0,Watertown Ave @ opp Kaynor Dr,Watertown Ave @ opp Madeline Ave,104.51
14896,0,Main St @ French St,French St @ Main St,53.34
14896,0,Main St @ French St,Depot St @ French St,103.53
14896,0,Main St @ Pythian Ave,Depot St @ Siemon Company Dr,115.38
14896,0,Main St @ Echo Lake Rd,Echo Lake Rd @ Heminway Pake Rd,40.18
14896,0,French St @ Main St,Depot St @ French St,87.31
14896,1,Watertown Ave @ Madeline Ave,Watertown Ave @ Kaynor Dr,110.47
14897,0,Watertown Ave @ opp Kaynor Dr,Watertown Ave @ opp Madeline Ave,104.51
14897,0,Park Rd @ opp Eyelematic Dist South,Park Rd @ Eyelematic Dist South,18.04
14897,0,Park Rd @ opp Seemar Rd,Park Rd @ Seemar Rd,24.0
14897,1,Watertown Ave @ Madeline Ave,Watertown Ave @ Kaynor Dr,110.47
14898,0,Watertown Ave @ Tompkins St,Irvington Ave @ Watertown Ave,121.9
14898,0,Commercial St @ New Wood Rd,Straits Tpke @ Commercial St,34.28
14898,0,Straits Tpke @ New Wood Rd,Straits Tpke @ Commercial St,111.76
14898,1,Commercial St @ New Wood Rd,New Wood Rd @ Straits Tpke,86.86
14898,1,Commercial St @ New Wood Rd,Straits Tpke @ Commercial St,34.28
14898,1,Commercial St @ New Wood Rd,Commercial St @ Dunkin Donuts,51.48
14898,1,New Wood Rd @ Straits Tpke,Straits Tpke @ opp New Wood Rd,89.03
14898,1,New Wood Rd @ Straits Tpke,Straits Tpke @ Commercial St,53.4
14898,1,New Wood Rd @ Straits Tpke,Commercial St @ Dunkin Donuts,83.91
14898,1,Irvington Ave @ Watertown Ave,Watertown Ave @ Tompkins St,67.95
14898,1,Straits Tpke @ Commercial St,Commercial St @ Dunkin Donuts,45.12
14898,1,Watertown Ave @ Madeline Ave,Watertown Ave @ Kaynor Dr,110.47
14899,1,E Main St @ UConn Campus,East Main St @ N Main St,85.14
14900,0,Bloomingdale Dr @ Knotter Rd,Bloomingdale Dr @ Knotter Rd,25.57
14900,1,Goodrich Co @ Knotter Dr,Goodrich Co @ Knotter Dr,27.24
14900,1,Knotter Dr @ opp McKee Pl,Knotter Dr @ McKee Pl,31.07
14900,1,Bloomingdale Dr @ Knotter Rd,Bloomingdale Dr @ Knotter Rd,25.57
14902,0,Naugatuck Car Wash @ Rubber Ave,Webster Bank @ Rubber Ave,103.19
14902,0,Naugatuck Car Wash @ Rubber Ave,Mount View Shopping Plaza @ Stop & Shop,111.86
14902,0,Webster Bank @ Rubber Ave,Mount View Shopping Plaza @ Stop & Shop,69.52
14903,0,Old Firehouse Rd @ Maple St,Maple St @  Water St,115.42
14903,0,New Haven Rd @ Bowman Dr,Bowman Dr @ opp Kingdom Hall,99.61
14903,1,Bowman Dr @ opp Kingdom Hall,Brookside Rd @ Kingdom Hall,40.03
14903,1,Bowman Dr @ opp Kingdom Hall,New Haven Rd @ Horton Hill Rd,117.34
14903,1,Brookside Rd @ Kingdom Hall,New Haven Rd @ Horton Hill Rd,87.36
14903,1,Maple St @ Water St,Old Firehouse Rd @ Maple St,103.86
14903,1,N Church St @ Park Pl,Old Firehouse Rd @ Franklin Court,99.61
14904,0,Old Firehouse Rd @ Maple St,N Church St @ Maple St,93.95
14904,0,Bridge St @ opp Brennan St,Spring St @ Bridge St,118.05
14904,0,Spring St @ Hop Brook Condo,Multimetal Factory @ Spring St,84.13
14904,1,Multimetal Factory @ Spring St,Spring St @ 464 Spring St,78.36
14904,1,Spring St @ Bridge St,Bridge St @ Brennan St,122.32
14907,0,State St @ Meriden Transit Center,Colony St @ Meriden RR Stn,79.98
14907,0,Colony St @ Colony Pl,Kensington Ave @ Colony St,66.74
14907,0,Kensington Ave @ Idle Ln,Kensington Ave @ Fair St,106.08
14907,1,W Main St @ opp Goodwill Ave,W Main St @ Cook Ave,84.81
14908,0,Broad St @ Camp St,Yale Acres Rd @ Broad St,70.4
14908,0,N Broad St @ Twiss Ave,Sherman Ave @ Broad St,104.59
14908,0,Sherman Ave @ Warren St,Warren St @ Britannia St,116.72
14908,0,Warren St @ Britannia St,Griswold St @ Britannia St,110.56
14908,1,Griswold St @ Cambridge St,N Colony St @ opp Griswold St,105.58
14908,1,Center St @ Lake St,Camp St @ Center St,107.19
14909,1,Hanover St @ Columbus Ave,Hanover St @ Orange St,85.7
14910,1,W Main St @ N 3rd St,W Main St @ N 2nd St,116.25
14910,1,W Main St @ Linesley Ave,W Main St @ opp Goodwill Ave,75.87
14910,1,W Main St @ opp Goodwill Ave,W Main St @ Cook Ave,84.81
14911,0,E Main St @ Paddock Ave,Paddock Ave @ Wilson Ave,111.2
14911,0,Rushford Ctr @ Paddock Ave,Murdock Ave @ Paddock Ave,103.93
14918,0,Arch St @ opp W Pearl St,Grand St @ Prospect St,109.8
14918,0,Linwood St @ opp Highland St,Linwood St @ Hart St,121.24
14918,0,Kensington Ave @ Opp Learning Experence,Kensington Ave @ Learning Exerence,28.66
14918,1,Linwood St @ Hart St,Linwood St @ Highland St,101.13
14918,1,Grand St @ Opp Prospect St,Arch St @ W Pearl St,117.2
14919,0,W Main St @ opp Liberty St,Lincoln St @ Lincoln Ct,124.83
14919,0,Broad St @ Emmett St,Emmett St @ Broad St,111.39
14919,1,South St @ Willis St,South St @ Seymour St,113.74
14919,1,E Main St @ Crown St,E Main St @ Hough St,120.6
14919,1,Lincoln St @ Lincoln Ct,W Main St @ Liberty St,105.55
14920,0,W Main St @ Newfield Ave,W Main St @ Homestead Ave,99.04
14920,0,Corbin Ave @ Belmont St,Corbin Ave @ Sterling St,95.24
14920,1,W Main St @ Holmes Ave,W Main St @ Woodruff Ct,83.45
14920,1,W Main St @ Lexington St,Grove Hill St @ W Main St,96.92
14921,0,Broad St @ Grove St,Broad St @ Horace St,96.44
14921,0,Broad St @ Booth St,Broad St @ Opp Curtis St,120.4
14921,0,Burritt St @ Miller St,Burritt St @ Hayes St,118.71
14921,0,Burritt St @ 699 Burritt St,Osgood Ave @ Lucyan St,92.1
14921,0,Corbin Ave @  Governor St,Corbin Ave @ Heather Ln,107.35
14921,0,Corbin Ave @ Opp Walker Rd,Corbin Ave @ Yew Pl,102.33
14921,0,Corbin Ave @ Yew Pl,Horseplain Rd @ The Jefferson House,117.33
14921,0,Skipper St @ Scarlett Dr,Scarlett Dr @ Slater Rd,116.1
14921,0,Scarlett Dr @ Slater Rd,Slater Rd @ Adele Rd,123.39
14921,0,Stonegate Rd @ 51 Stonegate Rd,Marwood Dr @ 25 Marwood Dr,79.76
14921,0,Stonegate Rd @ 51 Stonegate Rd,Marwood Dr @ 17 Marwood Dr,122.91
14921,0,Marwood Dr @ 25 Marwood Dr,Marwood Dr @ 17 Marwood Dr,119.7
14921,1,Marwood Dr @ 17 Marwood Dr,Marwood Dr @ 5 Marwood Dr,98.19
14921,1,Osgood Ave @ opp Lucyan St,Burritt St @ Sacred Heart Cemetery,62.68
14921,1,Burritt St @ opp Hayes St,Burritt St @ 532 Burritt St,104.88
14921,1,Burritt St @ 348 Burritt St,Burritt St @ Clinton St,118.96
14921,1,Burritt St @ Myrtle St,Myrtle St @ Burritt St,53.37
14922,0,Farmington Ave @ Ward St,Farmington Ave @ Concord St,122.05
14922,0,Farmington Ave @ Concord St,Farmington Ave @ opp Hayes St,74.06
14922,0,Farmington Ave @ opp Osgood Ave,Farmington Ave @ opp Richmond Ave,98.88
14922,0,Farmington Ave @ Fribbieb Dairy Barn,Farmington Ave @ Alexander Rd,111.54
14922,0,Fienemann Rd @ Farm Springs Rd,Farm Springs Rd @ Otis Elevator,105.52
14922,0,Fienemann Rd @ Farm Springs Rd,Farm Springs Rd @ Otis Elevator,90.66
14922,0,Farm Springs Rd @ Otis Elevator,Farm Springs Rd @ Otis Elevator,20.19
14922,0,Farm Springs Rd @ 5 Farm Springs Rd,Farm Springs Rd @ UPC Fire Security,102.49
14922,0,Farm Springs Rd @ 5 Farm Springs Rd,Farm Springs Rd @ The Hartford Ins,94.4
14922,0,Farm Springs Rd @ 5 Farm Springs Rd,Farm Springs Rd @ 4 Farm Springs Rd,30.7
14922,0,Farm Springs Rd @ UPC Fire Security,Farm Springs Rd @ The Hartford Ins,22.06
14922,0,Farm Springs Rd @ The Hartford Ins,Farm Springs Rd @ 4 Farm Springs Rd,116.42
14922,1,Farmington Ave @ Slater Rd,Farmington Ave @ 950 Farmington Ave,115.82
14922,1,Farmington Ave @ opp Lewis Rd,Farmington Ave @ Yeaton St,102.41
14922,1,Farmington Ave @ Richmond Ave,Farmington Ave @ Osgood Ave,118.73
14923,0,Main St @ Lee St,North St @ opp Sexton St,106.3
14923,0,North St @ opp Tremont St,North St @ opp Erwin Pl,103.07
14923,0,Oak St @ Lasalle St,Oak St @ 253 Oak St,124.12
14923,0,Oak St @ 253 Oak St,Oak St @ Allen St,121.14
14923,0,Oak St @ Allen St,Allen St @ Dudley St,75.01
14923,0,Allen St @ Dudley St,Carlton St @ Allen St,123.91
14923,0,Carlton St @ opp Cranston Ter,Carlton St @ Stratford Rd,113.59
14923,0,Carlton St @ Commonwealth Ave,Commonwealth Ave @ Carlton St,47.64
14923,0,Carlton St @ Eddy Glover Blvd,Eddy Glover Blvd @ opp Seneca St,101.65
14923,0,Eddy Glover Blvd @ opp Commonwealth Ave,Eddy Glover Blvd @ Commonwealth Ave,64.93
14923,0,Eddy Glover Blvd @ opp Commonwealth Ave,Commonwealth Ave @ Eddy Glover Blvd,70.92
14923,0,Commonwealth Ave @ Mcclintock St,McClintock St @ Eddy Glover Blvd,87.11
14923,0,Commonwealth Ave @ Mcclintock St,Eddy Glover Blvd @ Hawthorne St,91.93
14923,0,McClintock St @ Eddy Glover Blvd,Eddy Glover Blvd @ Hawthorne St,92.78
14923,0,Eddy Glover Blvd @ Commonwealth Ave,Commonwealth Ave @ Eddy Glover Blvd,61.45
14923,0,Commonwealth Ave @ Stanley St,Stanley St @ C C S U,82.46
14923,1,Stanley St @ A W Stanley Park,Stanley St @ Stanley Woods Condo,113.34
14923,1,Stanley St @ opp C C S U,Commonwealth Ave @ Stanley St,53.51
14923,1,Carlton St @ Eddy Glover Blvd,Eddy Glover Blvd @ opp Seneca St,101.65
14923,1,Eddy Glover Blvd @ opp Commonwealth Ave,Eddy Glover Blvd @ Commonwealth Ave,64.93
14923,1,Eddy Glover Blvd @ opp Commonwealth Ave,Commonwealth Ave @ Eddy Glover Blvd,70.92
14923,1,Commonwealth Ave @ Mcclintock St,McClintock St @ Eddy Glover Blvd,87.11
14923,1,Commonwealth Ave @ Mcclintock St,Eddy Glover Blvd @ Hawthorne St,91.93
14923,1,McClintock St @ Eddy Glover Blvd,Eddy Glover Blvd @ Hawthorne St,92.78
14923,1,Eddy Glover Blvd @ Commonwealth Ave,Commonwealth Ave @ Eddy Glover Blvd,61.45
14923,1,Commonwealth Ave @ Carlton St,Carlton St @ Commonwealth Ave,29.16
14923,1,Carlton St @ Stratford Rd,Carlton St @ Cranston Ter,109.48
14923,1,Allen St @ Carlton St,Allen St @ Oak St,122.73
14923,1,Allen St @ Oak St,Oak St @ Allens St,60.79
14923,1,Oak St @ North St,North St @ Erwin Pl,114.48
14923,1,Main St @ opp Lee St,Main St @ Lafayette St,116.42
14924,0,E Main St @ CTfastrak,E Main St @ opp Cottage Pl,107.14
14924,0,Dix Ave @ East St,Dix Ave @ 1st St,119.64
14924,0,Dix Ave @ 1st St,Dix St @ opp Bedford St,100.09
14924,0,Dix St @ opp Bedford St,Dix Ave @ opp Camden St,90.22
14924,1,5TH ST & BUENA VISTA AVE,Thorniley St @ 4Th St,117.92
14924,1,Thorniley St @ 4Th St,4th St @ opp Prince Ave,117.31
14924,1,Charles St @ Newington Ave,Newington Ave @ Childs St,123.11
14924,1,Belden St @ East St,East St @ Linden St,98.67
14924,1,E Main St @ Cottage Pl,E Main St @ CTfastrak,96.26
14925,0,Chestnut St @ Stanley St,Stanley St @ Park St,75.24
14925,0,Stanley St @ South St,South St @ Stanley St,107.29
14925,0,South St @ 575 South St,John Downey Dr @ South St,36.78
14925,0,John Downey Dr @ opp Precision Ct,John Downey Dr @ Precision Ct,52.95
14925,0,John Downey Dr @ opp Production Ct,John Downey Dr @ Production Ct,50.84
14925,1,Dattco @ South St,South St @ John Downey Dr,37.18
14925,1,Rocky Hill Ave @ Ellis St,Rocky Hill Ave @ 98 Rocky Hill Ave,111.12
14926,0,Farmington Ave @ opp Depot Rd,Depot Rd @ Berlin RR Stn,97.28
14926,0,New Park Dr @ 114 New Park Dr,New Park Dr @ 131 New Park Dr,6.4
14926,1,New Park Dr @ 114 New Park Dr,New Park Dr @ 131 New Park Dr,6.4
14926,1,S Main St @ South St,S Main St @ Brook St,123.14
14926,1,Franklin Sq @ Pearl St,Franklin Sq @ CT Superior Court,95.63
14927,0,Farmington Ave @ opp Depot Rd,Depot Rd @ Berlin RR Stn,97.28
14927,1,S Main St @ South St,S Main St @ Brook St,123.14
14927,1,Franklin Sq @ Pearl St,Franklin Sq @ CT Superior Court,95.63
14928,0,Farmington Ave @ opp Depot Rd,Depot Rd @ Berlin RR Stn,97.28
14928,1,S Main St @ South St,S Main St @ Brook St,123.14
14928,1,Franklin Sq @ Pearl St,Franklin Sq @ CT Superior Court,95.63
14929,0,E Main St @ Crown St,E Main St @ Hough St,120.6
14929,0,East St @ Town Line Rd,Queen St @ 1198 Queen St,45.61
14929,1,Queen St @ Interstate Park Rd,Queen St @ 785 Queen St,109.42
14929,1,Queen St @ 1187 Queen St,East St @ Queen St,54.08
14930,0,N Main St @ McDonalds,N Main St @ Center St,93.01
14931,0,N Main St @ McDonalds,N Main St @ Center St,93.01
14931,0,N Main St @ North St,Federal St @ Burger King,64.66
14931,1,Brewster Rd @ Bristol Hospital,Harrison St @ Queen St,105.55
14932,1,West St @ Gridley St,South St @ West St,102.57
14933,0,East St @ E Main St,E Main St @ Cottage Pl,88.93
14957,0,Liberty St @ Norwood St,Liberty St @ opp Twiss St,101.52
14957,0,Liberty St @ Pearl St,Liberty St @ Clinton St,108.89
14957,0,Liberty St @ Clinton St,Liberty St @ Murray St,105.53
14957,0,Gravel St @ Moloney High School,Gravel St @ Merritt Pl,113.58
14957,0,N Colony St @ opp Rembert St,N Cherry St @ Wallingford RR Stn,101.6
14957,1,Liberty St @ Sunset Ave,Liberty St @ Murray St,120.65
14957,1,Liberty St @ Newton St,Liberty St @ Cottage St,97.73
15114,0,Buckland Park & Ride @ Stop A,Buckland Park & Ride @ Stop B,102.67
15114,1,Buckland Park & Ride @ Stop A,Buckland Park & Ride @ Stop B,102.67
15115,0,Buckland Park & Ride @ Stop A,Buckland Park & Ride @ Stop B,102.67
15116,0,Buckland Park & Ride @ Stop A,Buckland Park & Ride @ Stop B,102.67
15116,1,Buckland Park & Ride @ Stop A,Buckland Park & Ride @ Stop B,102.67
15119,1,Asylum St @ Union Pl,Hartford Union Stn Bus Terminal @ Spruce St,56.61
15182,0,Commercial Pkwy @ Montoya Cir,Commercial Pkwy @ Sero Shirts Co,84.91
15182,0,Main St @ Bradley St,Main St @ Russell St,102.93
15182,0,Main St @ Russell St,Main St @ Kirkham St,118.39
15182,0,Main St @ Eades St,Main St @ opp Harrison Ave,112.45
15182,1,Commercial Pkwy @ Walmart Rear,Commercial Pkwy @ Wal-Mart Front,87.58
15182,1,Commercial Pkwy @ Opp Montoya Cir,Commercial Pkwy @ Commerce Park & Ride,118.1
15182,1,W Main St @ Tommy K's Plaza,W Main St @ opp Alps Rd,101.6
15183,0,Main St @ Boston Ave,Main St @ Lenox St,114.85
15183,0,Main St @ Goody's Hardware,Main St @ opp Kimberly Ave,86.79
15183,0,Main St @ Bradley Ave,Main St @ Taylor Ave,110.5
15183,0,Thompson Ave @ Hotchkiss Rd,Thompson Ave @ Frank St,110.75
15183,0,Thompson Ave @ Frank St,Thompson Ave @ Iver Ave,113.4
15183,0,Thompson Ave @ Dodge Ave,Dodge Ave @ Roma St,116.2
15183,0,Coe Ave @ Opp Allen Ct,Coe Ave @ Woodland Ave,108.03
15183,1,Bradford Ave @ Henry St,Bradford Ave @ George St,73.72
15183,1,Bradford Ave @ George St,Bradford Ave @ Coe Ave,77.2
15183,1,Coe Ave @ Edgemere Rd,Coe Ave @ Calabro Cheese Corp 1,116.55
15183,1,Dodge Ave @ Hemingway Ave,Hemingway Ave @ Opp Richmond St,61.5
15183,1,Dodge Ave @ Roma St,Dodge Ave @ Thompson Ave,83.65
15183,1,Dodge Ave @ Thompson Ave,Thompson Ave @ opp Iver Ave,117.45
15183,1,Thompson Ave @ opp Iver Ave,Thompson Ave @ Frank St,111.11
15183,1,Thompson Ave @ Frank St,Thompson Ave @ Hotchkiss Rd,117.86
15183,1,Main St @ opp Gerrish Ave,Main St @ Guilford Ct,58.67
15183,1,Main St @ Guilford Ct,Main St @ Pardee Pl,109.36
15183,1,Main St @ Kimberly Ave,Main St @ opp Goody's Hardware,117.26
15183,1,Main St @ Townsend Ave,Forbes Ave @ Townsend Ave,112.41
15183,1,Chapel St @ Church St,Chapel St @ Orange St,87.55
15183,1,Hemingway Ave @ Pennsylvania Ave,Hemingway Ave @ Opp Tyler St,108.0
15183,1,Hemingway Ave @ Messina Dr,Messina Dr @ E Farms Apts,96.01
